DownloadTime,DownloadURL,Origin,AgentName,AgentBundle,User,EventUUID
2025-11-19T17:08:16.25469017Z,,,Messages,com.apple.MobileSMS,REDACTED_USER,54EE6E99-0F48-4B2A-906C-1679901439D1
2025-11-19T17:10:02.695765018Z,,,Messages,com.apple.MobileSMS,REDACTED_USER,697E8854-CCCA-43AA-AB65-3C61A0004D66
2025-11-19T17:10:09.265746116Z,,,Messages,com.apple.MobileSMS,REDACTED_USER,615DFB9A-8F38-4A43-8DC8-274D8AADE337
2025-11-19T17:10:25.890763998Z,,,Messages,com.apple.MobileSMS,REDACTED_USER,DF3A206C-5CA9-44D4-AE90-82D33B608134
2025-11-19T17:12:58.775318145Z,,,Messages,com.apple.MobileSMS,REDACTED_USER,B6A3505E-69C1-42E1-8661-A2C921E43F19
2025-11-19T18:24:01.870122909Z,,,Messages,com.apple.MobileSMS,REDACTED_USER,C216D685-7BFC-4ED4-AC73-577ACE73E435
2025-11-19T18:41:32.767099857Z,,,Messages,com.apple.MobileSMS,REDACTED_USER,4621A530-83B5-48AD-B52B-6114A4D85978
2025-11-19T18:55:35.396342992Z,,,Messages,com.apple.MobileSMS,REDACTED_USER,C1ADB0C6-33A8-4C15-83EA-15EA54C2329E
2025-11-21T18:06:33.946157932Z,,,Messages,com.apple.MobileSMS,REDACTED_USER,CFAFB793-C4CD-4662-8CAF-1DF65921E3FB
2025-12-06T14:46:38.480978965Z,,,Messages,com.apple.MobileSMS,REDACTED_USER,3A938FC6-2BF5-47E8-AD0D-D4784EF52287
2025-12-06T21:14:30.106942176Z,,,Messages,com.apple.MobileSMS,REDACTED_USER,DE0210AB-8D6A-44A2-AFDE-6F3F471C1452
2025-12-11T18:13:48.904880046Z,,,Messages,com.apple.MobileSMS,REDACTED_USER,05EDAB65-346C-4452-88F2-BCC35F0197E9
2025-12-17T20:24:11.180047035Z,,,Messages,com.apple.MobileSMS,REDACTED_USER,ECCD221A-A436-4E35-9F44-2CD080C1590F
2026-01-01T20:45:48.017488002Z,,,sharingd,,REDACTED_USER,9A378923-9213-45AF-8C29-5C8C1EFB451D
2026-01-01T20:45:57.53174901Z,,,sharingd,,REDACTED_USER,0CB1D1D2-CF16-4541-963D-2319229C9AB8
2026-01-01T20:45:57.536456108Z,,,sharingd,,REDACTED_USER,F5D312E5-F7A9-49E6-96F6-3318A2AD1A36
2026-01-01T20:45:57.540614128Z,,,sharingd,,REDACTED_USER,8802EA03-3B6C-4FC6-A82B-C74B539ACE89
2026-01-01T20:45:57.544873952Z,,,sharingd,,REDACTED_USER,2AC7761E-9727-4536-ABFC-FB03DACF7437
2026-01-01T20:45:57.549092054Z,,,sharingd,,REDACTED_USER,5350EF31-9811-4B66-9C0F-A30BCCD61237
2026-01-01T20:45:57.552777051Z,,,sharingd,,REDACTED_USER,56EC42D2-F84B-48B3-9F19-C89D88B4AB42
2026-01-01T20:45:57.55564785Z,,,sharingd,,REDACTED_USER,BB74EE63-2506-4929-997A-8637C544A2D3
2026-01-01T20:46:16.52476406Z,,,sharingd,,REDACTED_USER,477E0D6E-DA70-4299-91A8-A1D92D82D851
2026-01-01T20:46:25.272159099Z,,,sharingd,,REDACTED_USER,FFC68780-331E-47E8-96AD-1C5BEF6D968D
2026-01-01T20:46:25.27642703Z,,,sharingd,,REDACTED_USER,D4D5A808-C466-4F45-95E8-4016C1202AEE
2026-01-01T20:46:25.281049966Z,,,sharingd,,REDACTED_USER,2859468F-BAAA-426C-B73D-3A1F708D6FCE
2026-01-01T20:46:25.286208152Z,,,sharingd,,REDACTED_USER,9294CE58-4A97-400C-B316-244749C916C4
2026-01-01T20:46:25.290020942Z,,,sharingd,,REDACTED_USER,6F60F053-B789-484C-81C8-C42DED624BA6
2026-01-01T20:46:25.29316616Z,,,sharingd,,REDACTED_USER,F11950B5-7241-44E4-AFC9-FAAEF33F919E
2026-01-01T20:46:25.29683113Z,,,sharingd,,REDACTED_USER,1A7C77F6-224C-4680-8F58-8ED544719C05
2026-01-14T17:26:04.980677127Z,,,Messages,com.apple.MobileSMS,REDACTED_USER,0DF138E0-00DC-4E62-B51D-51344A6F650A
2026-02-13T18:37:04.005120038Z,,,Messages,com.apple.MobileSMS,REDACTED_USER,30467E77-2F44-41F3-ABC5-103B995DFD6D
2026-03-13T12:45:37.307317018Z,,,Messages,com.apple.MobileSMS,REDACTED_USER,C17FA856-8C2B-44BA-A1F5-E13713B08846
2026-04-13T18:05:06.597679138Z,,,Messages,com.apple.MobileSMS,REDACTED_USER,51A21EB5-6746-4DE3-B0BA-C19123A03CCE
2026-05-03T13:32:06.156304836Z,,,Messages,com.apple.MobileSMS,REDACTED_USER,71895E27-E03E-4A5E-A9D3-D6B3AFBFEE98
2026-05-13T12:16:03.614646911Z,,,Messages,com.apple.MobileSMS,REDACTED_USER,70023390-B456-45DB-8152-35AC39133553
2026-06-05T07:54:40.825137138Z,,,Messages,com.apple.MobileSMS,REDACTED_USER,58BE0E55-1BA2-4C35-8F8F-0FDBC1298B2C
2026-06-13T12:14:35.678030014Z,,,Messages,com.apple.MobileSMS,REDACTED_USER,22929062-E285-4866-B6F1-ECEC10F1DFE5
2026-07-13T16:03:50.346045017Z,,,Messages,com.apple.MobileSMS,REDACTED_USER,74D2344F-3D4C-4E4E-B391-9EB4EA6E4440
2026-08-13T11:58:40.76862502Z,,,Messages,com.apple.MobileSMS,REDACTED_USER,CD8C7454-EF80-4FDA-ACB9-78D2879E4E17
2026-09-11T16:46:58.10102415Z,,,Homebrew Cask,,REDACTED_USER,7FA0A6F6-DB2C-429B-849C-00994B97B53B
2026-09-12T08:55:07.471367835Z,,,Messages,com.apple.MobileSMS,REDACTED_USER,C8540EA7-CE6E-4FDA-A016-18F68E84E237
2026-09-13T14:07:06.443348884Z,,,Safari,com.apple.Safari,REDACTED_USER,E744A415-5D19-4E33-B699-CF4B1EB5DB21
2026-09-14T01:25:49.73933506Z,,,Messages,com.apple.MobileSMS,REDACTED_USER,CF6B5CBB-7EF3-4CC0-BE4D-A33C70626DE1
2026-09-14T06:33:32.16159296Z,,,Safari,com.apple.Safari,REDACTED_USER,1F54E372-B347-4C66-8793-62FB2E4703B5
2026-09-14T06:38:32.58269Z,,,Safari,com.apple.Safari,REDACTED_USER,745BA1AB-A9B5-4CC8-8849-91671819F2DC
2026-09-14T08:14:22.767190933Z,,,Safari,com.apple.Safari,REDACTED_USER,A5443961-2431-4988-8A2C-893825798B50
2026-09-14T08:28:06.437828063Z,,,Safari,com.apple.Safari,REDACTED_USER,B169A8A5-1D16-444B-8D76-DCF08A8A0847
2026-09-14T08:30:29.088193893Z,,,Safari,com.apple.Safari,REDACTED_USER,FFD98877-27DC-4BDF-9DBD-7DFD954546C2
