DisplayName,DisplayVersion,ProcessName,InstallDate,ContentType,PackageIdentifiers
XProtectPlistConfigData," 5308",softwareupdated,2025-07-31T17:11:51Z,config-data,"[
 ""com.apple.pkg.XProtectPlistConfigData_10_15.16U4380""
]"
macOS 15.6," 15.6",softwareupdated,2025-08-02T22:58:20Z,,
RosettaUpdateAuto,,bootinstalld,2025-08-02T22:58:31Z,,"[
 ""com.apple.pkg.RosettaUpdateAuto""
]"
XProtectCloudKitUpdate," 5309",XProtectUpdateService,2025-08-06T17:35:54Z,,
XProtectPlistConfigData," 5309",softwareupdated,2025-08-06T17:58:37Z,config-data,"[
 ""com.apple.pkg.XProtectPlistConfigData_10_15.16U4383""
]"
XProtectPayloads," 153",softwareupdated,2025-08-06T17:59:13Z,config-data,"[
 ""com.apple.pkg.XProtectPayloads_10_15.16U4381""
]"
DaVinci Resolve Panels Installer v2.3.3,,installer,2025-08-06T23:01:36Z,,"[
 ""com.blackmagic-design.DaVinciPanels""
]"
DaVinci Keyboards Installer v2.3.3,,installer,2025-08-06T23:01:38Z,,"[
 ""com.blackmagic-design.DaVinciKeyboards""
]"
Fairlight Panels Installer v2.3.3,,installer,2025-08-06T23:01:43Z,,"[
 ""com.blackmagic-design.FairlightPanels""
]"
BlackmagicRaw_resolve,,installer,2025-08-06T23:01:52Z,,"[
 ""com.blackmagic-design.BlackmagicRaw_resolve""
]"
DaVinci Resolve,,Installer,2025-08-06T23:01:53Z,,"[
 ""com.blackmagic-design.ManifestLite"",
 ""com.blackmagic-design.ManifestPanels"",
 ""com.blackmagic-design.ManifestBlackmagicRawPlayer""
]"
XProtectCloudKitUpdate," 5310",XProtectUpdateService,2025-08-15T11:28:27Z,,
XProtectCloudKitUpdate," 5311",XProtectUpdateService,2025-08-21T15:42:52Z,,
XProtectCloudKitUpdate," 5312",XProtectUpdateService,2025-08-26T20:05:19Z,,
Zoom Workplace,6.5.9.61929,installer,2025-08-30T06:16:42Z,,"[
 ""us.zoom.pkg.videomeeting""
]"
XProtectPlistConfigData," 5312",softwareupdated,2025-08-30T07:23:19Z,config-data,"[
 ""com.apple.pkg.XProtectPlistConfigData_10_15.16U4386""
]"
macOS 15.6.1,15.6.1,softwareupdated,2025-08-30T12:21:39Z,,
RosettaUpdateAuto,,bootinstalld,2025-08-30T12:21:50Z,,"[
 ""com.apple.pkg.RosettaUpdateAuto""
]"
ASAF_SDK,,installer,2025-09-03T18:25:06Z,,"[
 ""com.Apple.pkg.ASAF.SDK""
]"
DaVinci Resolve Panels Installer v2.3.4,,installer,2025-09-03T18:25:19Z,,"[
 ""com.blackmagic-design.DaVinciPanels""
]"
DaVinci Keyboards Installer v2.3.4,,installer,2025-09-03T18:25:20Z,,"[
 ""com.blackmagic-design.DaVinciKeyboards""
]"
Fairlight Panels Installer v2.3.4,,installer,2025-09-03T18:25:25Z,,"[
 ""com.blackmagic-design.FairlightPanels""
]"
BlackmagicRaw_resolve,,installer,2025-09-03T18:25:36Z,,"[
 ""com.blackmagic-design.BlackmagicRaw_resolve""
]"
DaVinci Resolve,,Installer,2025-09-03T18:25:37Z,,"[
 ""com.blackmagic-design.ManifestLite"",
 ""com.blackmagic-design.ManifestPanels"",
 ""com.blackmagic-design.ManifestBlackmagicRawPlayer""
]"
XProtectCloudKitUpdate," 5313",XProtectUpdateService,2025-09-04T17:38:41Z,,
XProtectPlistConfigData," 5313",softwareupdated,2025-09-09T22:12:14Z,config-data,"[
 ""com.apple.pkg.XProtectPlistConfigData_10_15.16U4387""
]"
XProtectCloudKitUpdate," 5314",XProtectUpdateService,2025-09-12T05:37:44Z,,
XProtectPlistConfigData," 5314",softwareupdated,2025-09-12T05:38:01Z,config-data,"[
 ""com.apple.pkg.XProtectPlistConfigData_10_15.16U4388""
]"
XProtectPlistConfigData," 5315",softwareupdated,2025-09-17T14:28:20Z,config-data,"[
 ""com.apple.pkg.XProtectPlistConfigData_10_15.16U4389""
]"
macOS 26.0," 26.0",softwareupdated,2025-09-17T15:37:08Z,,
RosettaUpdateAuto,,bootinstalld,2025-09-17T15:37:15Z,,"[
 ""com.apple.pkg.RosettaUpdateAuto""
]"
MRTConfigData," 1.93",softwareupdated,2025-09-17T16:09:19Z,config-data,"[
 ""com.apple.pkg.MRTConfigData_10_15.16U4211""
]"
Gatekeeper Compatibility Data," 1.0",softwareupdated,2025-09-17T16:09:19Z,config-data,"[
 ""com.apple.pkg.GatekeeperCompatibilityData.16U1906""
]"
XProtectPlistConfigData," 5315",softwareupdated,2025-09-17T16:09:19Z,config-data,"[
 ""com.apple.pkg.XProtectPlistConfigData_10_15.16U4389""
]"
Command Line Tools for Xcode 26.0," 26.0",softwareupdated,2025-09-17T16:12:35Z,,"[
 ""com.apple.pkg.CLTools_Executables"",
 ""com.apple.pkg.CLTools_SDK_macOS_NMOS"",
 ""com.apple.pkg.CLTools_SDK_macOS_LMOS"",
 ""com.apple.pkg.CLTools_macOS_SDK"",
 ""com.apple.pkg.CLTools_SwiftBackDeploy"",
 ""com.apple.pkg.CLTools_SDK_macOS14"",
 ""com.apple.pkg.CLTools_SDK_macOS13"",
 ""com.apple.pkg.CLTools_SDK_macOS12"",
 ""com.apple.pkg.CLTools_SDK_macOS110""
]"
XProtectPayloads," 153",softwareupdated,2025-09-17T16:12:50Z,config-data,"[
 ""com.apple.pkg.XProtectPayloads_10_15.16U4381""
]"
XProtectCloudKitUpdate," 5316",XProtectUpdateService,2025-09-24T15:23:58Z,,
XProtectCloudKitUpdate," 5317",XProtectUpdateService,2025-10-01T03:24:14Z,,
XProtectPlistConfigData," 5317",softwareupdated,2025-10-04T04:28:32Z,config-data,"[
 ""com.apple.pkg.XProtectPlistConfigData_10_15.16U4394""
]"
macOS 26.0.1,26.0.1,softwareupdated,2025-10-07T19:30:24Z,,
RosettaUpdateAuto,,bootinstalld,2025-10-07T19:30:36Z,,"[
 ""com.apple.pkg.RosettaUpdateAuto""
]"
XProtectCloudKitUpdate," 5318",XProtectUpdateService,2025-10-10T11:36:43Z,,
